Date,Closed PnL,Size USD,Account,Trade ID,Fee,Daily_Win_Rate,value,classification,Next_Day_Profitable,Cumulative_PnL
2023-05-01,0.0,477.0,1,3,0.0,0.0,63,Greed,0,0.0
2023-12-05,0.0,50005.83,1,9,12.501455,0.0,75,Extreme Greed,0,0.0
2023-12-14,-205.43473700000007,113203.35,1,11,28.300831000000002,0.36363636363636365,72,Greed,0,-205.43473700000007
2023-12-15,-24.632033999999997,10609.95,1,2,2.652489,0.0,70,Greed,0,-230.06677100000007
2023-12-16,0.0,15348.77,1,3,3.8371890000000004,0.0,67,Greed,1,-230.06677100000007
2023-12-17,304.982785,116278.02,1,14,29.069499,0.5,73,Greed,0,74.9160139999999
2023-12-18,0.0,31164.179999999997,1,2,7.791045,0.0,65,Greed,1,74.9160139999999
2023-12-19,1000.5386120000001,91602.41,1,15,22.900596,0.6666666666666666,73,Greed,1,1075.454626
2023-12-20,162.732282,141636.79,1,18,35.409187,0.4444444444444444,74,Greed,1,1238.186908
2023-12-21,537.211402,125233.97,1,49,31.308469,0.5306122448979592,70,Greed,1,1775.39831
2023-12-22,141.832675,88874.28,1,10,22.218566000000003,0.2,74,Greed,1,1917.2309850000001
2023-12-23,146.936704,78438.25,1,13,19.609555,0.6153846153846154,70,Greed,1,2064.1676890000003
2023-12-24,1008.619956,402954.94,1,39,100.738715,0.38461538461538464,71,Greed,0,3072.7876450000003
2023-12-25,-245.081348,59948.51,1,3,14.987124999999999,0.0,73,Greed,0,2827.706297
2023-12-27,-704.8892269999999,171411.06,1,28,42.852747,0.14285714285714285,73,Greed,0,2122.81707
2023-12-28,-970.730876,100117.25,1,23,25.0293,0.0,73,Greed,1,1152.086194
2023-12-29,508.92214299999995,569559.72,1,50,142.389901,0.3,65,Greed,1,1661.008337
2023-12-30,354.998648,702550.21,1,52,175.637526,0.4423076923076923,68,Greed,0,2016.006985
2024-01-01,-129.53146,264239.52999999997,1,18,66.059867,0.05555555555555555,65,Greed,1,1886.475525
2024-01-02,783.979116,121348.74,1,17,30.337176,0.47058823529411764,71,Greed,1,2670.4546410000003
2024-01-03,866.015507,394499.36,1,67,98.624811,0.417910447761194,70,Greed,0,3536.4701480000003
2024-01-04,-67.60364,99792.54000000001,1,5,24.948132,0.0,68,Greed,1,3468.8665080000005
2024-01-05,164.141565,1703942.66,1,66,425.985639,0.19696969696969696,72,Greed,1,3633.0080730000004
2024-01-06,135.58166400000002,298521.4,1,22,74.630342,0.45454545454545453,70,Greed,0,3768.5897370000002
2024-01-07,-835.681235,1048850.06,1,97,262.212464,0.09278350515463918,71,Greed,0,2932.908502
2024-01-08,-269.874439,1522452.43,1,128,380.613064,0.25,71,Greed,0,2663.034063
2024-01-09,-826.349863,870051.97,1,70,204.012928,0.2571428571428571,76,Extreme Greed,0,1836.6842000000001
2024-01-10,-1517.091342,2057479.48,1,193,434.044865,0.21243523316062177,73,Greed,0,319.5928580000002
2024-01-11,-164.08950099999998,305314.1,2,21,75.867171,0.23809523809523808,76,Extreme Greed,0,155.50335700000022
2024-01-12,-1925.519024,200082.27,1,7,49.480726999999995,0.0,71,Greed,1,-1770.0156669999997
2024-01-15,152.85358,50636.1,2,14,12.652712,0.6428571428571429,52,Neutral,0,-1617.1620869999997
2024-01-16,-2299.171458,116427.33,2,9,17.319309,0.3333333333333333,64,Greed,1,-3916.3335449999995
2024-01-17,813.2741110000001,800831.03,1,53,159.707606,0.20754716981132076,60,Greed,1,-3103.0594339999993
2024-01-18,68.93319,424631.52999999997,1,46,92.657901,0.06521739130434782,63,Greed,0,-3034.126243999999
2024-01-19,-385.419235,428428.97,2,48,93.051868,0.125,51,Neutral,0,-3419.545478999999
2024-01-20,-146.57487000000003,1070090.51,1,106,267.522583,0.14150943396226415,52,Neutral,1,-3566.120348999999
2024-01-21,266.58114600000005,103129.74,1,11,25.78243,0.2727272727272727,56,Greed,1,-3299.539202999999
2024-01-22,1375.640959,337878.99,2,85,67.478268,0.27058823529411763,55,Greed,0,-1923.8982439999988
2024-01-23,-369.2447299999998,414518.93000000005,1,45,85.72457,0.24444444444444444,50,Neutral,0,-2293.1429739999985
2024-01-24,-2808.353815,965084.59,1,68,227.771095,0.14705882352941177,48,Neutral,0,-5101.496788999999
2024-01-25,-3093.6293849999997,66566.13,1,6,16.641532,0.0,52,Neutral,1,-8195.126173999999
2024-01-26,90.2,11773.21,2,5,0.444235,0.2,49,Neutral,0,-8104.926173999999
2024-01-28,-2478.06972,18109.03,1,11,-0.362176,0.0,54,Neutral,1,-10582.995894
2024-01-29,486.562542,414208.18,2,74,103.26260500000001,0.6081081081081081,55,Greed,0,-10096.433352
2024-01-30,-173.65419100000003,401011.38,1,49,100.25281,0.10204081632653061,61,Greed,0,-10270.087543
2024-01-31,-799.840817,6305647.13,1,859,1549.411475,0.2689173457508731,60,Greed,0,-11069.92836
2024-02-01,0.0,2008.18,1,6,0.5020439999999999,0.0,63,Greed,1,-11069.92836
